,dob,workclass,occupation
29000,1984,withpay,admclerical
3887,1984,withpay,farmingfishing
25983,1984,withpay,craftrepair
29553,2002,notworking,nooccupation
5464,2002,notworking,nooccupation
23309,2002,notworking,nooccupation
28401,2002,notworking,nooccupation
17448,1993,withpay,handlerscleaners
29464,1993,withpay,privhouseserv
8731,1993,withpay,otherservice
1558,1993,withpay,profspecialty
29563,1993,withpay,sales
31537,1993,withpay,admclerical
19257,1993,withpay,machineopinspct
24174,1993,withpay,techsupport
1199,1993,withpay,sales
3369,1993,withpay,admclerical
18069,1993,withpay,craftrepair
15038,1993,withpay,profspecialty
4344,1993,withpay,sales
4432,1993,withpay,profspecialty
1298,1993,withpay,craftrepair
13076,1993,withpay,handlerscleaners
25962,1993,withpay,admclerical
22805,1993,withpay,profspecialty
9960,1993,withpay,sales
27670,1993,withpay,admclerical
31019,1988,withpay,otherservice
14686,1988,withpay,execmanagerial
9501,1988,withpay,execmanagerial
26391,1988,withpay,craftrepair
1556,1988,withpay,machineopinspct
22794,1988,withpay,admclerical
784,1988,withpay,admclerical
27751,1988,withpay,execmanagerial
23123,1988,withpay,transportmoving
16512,1988,withpay,craftrepair
18429,1988,withpay,profspecialty
10572,1988,withpay,sales
12490,1988,withpay,otherservice
24796,1988,withpay,craftrepair
11760,1988,withpay,craftrepair
9779,1988,withpay,transportmoving
22896,1988,withpay,machineopinspct
8093,1988,withpay,profspecialty
29592,1988,withpay,admclerical
8255,1988,withpay,handlerscleaners
13145,1988,withpay,sales
32362,1988,withpay,transportmoving
6505,1988,withpay,execmanagerial
22723,1988,withpay,transportmoving
11116,1988,withpay,machineopinspct
22037,1988,withpay,otherservice
8334,1988,withpay,profspecialty
2937,1988,withpay,admclerical
17660,1973,withpay,execmanagerial
21308,1973,withpay,machineopinspct
9223,1973,withpay,profspecialty
21678,1973,withpay,profspecialty
29730,1973,withpay,execmanagerial
7671,1973,withpay,sales
15068,1973,withpay,otherservice
12532,1973,withpay,craftrepair
10741,1973,withpay,profspecialty
30123,1973,withpay,admclerical
14763,1973,withpay,handlerscleaners
26493,1977,withpay,sales
1029,1977,withpay,admclerical
9559,1977,withpay,farmingfishing
30013,1977,withpay,admclerical
4860,1977,withpay,sales
4690,1977,withpay,profspecialty
424,1977,withpay,profspecialty
12764,1977,withpay,profspecialty
25455,1977,withpay,sales
11253,1977,withpay,otherservice
25093,1977,withpay,admclerical
3004,1977,withpay,sales
10100,1977,withpay,profspecialty
11869,1977,withpay,machineopinspct
7015,1977,withpay,admclerical
24112,1977,withpay,admclerical
15507,1977,withpay,transportmoving
705,1977,withpay,execmanagerial
25970,1977,withpay,otherservice
18714,1977,withpay,profspecialty
21093,1977,withpay,transportmoving
7916,1977,withpay,techsupport
975,1992,withpay,profspecialty
25496,1992,withpay,execmanagerial
17042,1992,withpay,profspecialty
25328,1992,withpay,sales
10299,1992,withpay,profspecialty
22448,1992,withpay,otherservice
13569,1992,withpay,sales
13926,1992,withpay,craftrepair
27799,1992,withpay,craftrepair
14079,1992,withpay,techsupport
22570,1992,withpay,otherservice
17793,1992,withpay,techsupport
30796,1992,withpay,sales
1406,1992,withpay,protectiveserv
18550,1992,withpay,execmanagerial
32124,1992,withpay,sales
13252,1992,withpay,craftrepair
3018,1992,withpay,transportmoving
25122,1992,withpay,sales
25081,1992,withpay,profspecialty
25112,1992,withpay,otherservice
21290,1992,withpay,privhouseserv
31029,1992,withpay,admclerical
10769,1992,withpay,craftrepair
4727,1992,withpay,craftrepair
10634,1992,withpay,admclerical
3846,1992,withpay,handlerscleaners
17535,1992,withpay,transportmoving
14987,1992,withpay,craftrepair
31807,1992,withpay,execmanagerial
8640,1992,withpay,sales
26570,1992,withpay,machineopinspct
16386,1960,withpay,otherservice
29338,1960,withpay,execmanagerial
11644,1960,withpay,otherservice
32437,1960,withpay,handlerscleaners
6279,1960,withpay,profspecialty
24913,1960,withpay,farmingfishing
6320,1960,withpay,machineopinspct
17791,1960,withpay,otherservice
17251,1960,withpay,execmanagerial
4117,1960,withpay,admclerical
2244,1951,withpay,sales
29223,1951,withpay,farmingfishing
6395,1951,withpay,admclerical
190,1951,withpay,execmanagerial
22865,1961,withpay,transportmoving
65,1961,withpay,machineopinspct
19686,1961,withpay,transportmoving
31003,1961,withpay,otherservice
8427,1961,withpay,craftrepair
1482,1961,withpay,execmanagerial
12227,1961,withpay,transportmoving
27089,1961,withpay,handlerscleaners
6471,1961,withpay,admclerical
8875,1961,withpay,craftrepair
6109,1961,withpay,craftrepair
26273,1961,withpay,execmanagerial
6007,1961,withpay,admclerical
28994,1961,withpay,profspecialty
15798,1961,withpay,sales
1124,1961,withpay,farmingfishing
13289,1961,withpay,execmanagerial
25159,2002,withpay,handlerscleaners
17375,2002,withpay,techsupport
24184,2002,withpay,admclerical
32259,2002,withpay,sales
25820,2002,withpay,machineopinspct
1087,2002,withpay,otherservice
20625,2002,withpay,otherservice
4992,2002,withpay,admclerical
22246,2002,withpay,transportmoving
31809,2002,withpay,sales
8977,2002,withpay,admclerical
6338,2002,withpay,sales
29189,2002,withpay,sales
1218,2002,withpay,sales
13109,2002,withpay,handlerscleaners
28107,2002,withpay,otherservice
22749,2002,withpay,otherservice
20846,2002,withpay,admclerical
25528,2002,withpay,admclerical
11263,2002,withpay,craftrepair
15860,2002,withpay,handlerscleaners
1095,2002,withpay,sales
9188,2002,withpay,otherservice
6611,2002,withpay,otherservice
12528,2002,withpay,otherservice
27704,2002,withpay,profspecialty
19172,2002,withpay,otherservice
17947,2002,withpay,admclerical
18276,1996,withpay,admclerical
27386,1996,withpay,admclerical
1283,1996,withpay,execmanagerial
24055,1996,withpay,admclerical
22393,1996,withpay,execmanagerial
17474,1996,withpay,protectiveserv
8121,1996,withpay,profspecialty
9136,1996,withpay,techsupport
32072,1996,withpay,otherservice
22972,1996,withpay,admclerical
16363,1996,withpay,admclerical
15199,1996,withpay,admclerical
31721,1996,withpay,craftrepair
20637,1996,withpay,admclerical
23289,1996,withpay,profspecialty
17828,1996,withpay,sales
9644,1996,withpay,profspecialty
25469,1996,withpay,admclerical
18997,1996,withpay,admclerical
31768,1996,withpay,handlerscleaners
19907,1996,withpay,craftrepair
18627,1996,withpay,handlerscleaners
27693,1996,withpay,profspecialty
6060,1996,withpay,techsupport
1879,1966,withpay,execmanagerial
12030,1966,withpay,admclerical
1616,1966,withpay,sales
28984,1966,withpay,farmingfishing
16338,1966,withpay,machineopinspct
13846,1966,withpay,craftrepair
6436,1966,withpay,sales
15022,1966,withpay,admclerical
32306,1966,withpay,machineopinspct
19465,1966,withpay,protectiveserv
2942,1966,withpay,profspecialty
2379,1966,withpay,transportmoving
13188,1966,withpay,machineopinspct
4152,1995,withpay,profspecialty
7099,1995,withpay,execmanagerial
15463,1995,withpay,sales
12831,1995,withpay,machineopinspct
8553,1995,withpay,admclerical
29117,1995,withpay,sales
12140,1995,withpay,transportmoving
10752,1995,withpay,handlerscleaners
17014,1995,withpay,admclerical
7593,1995,withpay,admclerical
7501,1995,withpay,protectiveserv
11454,1995,withpay,admclerical
28892,1995,withpay,craftrepair
13624,1995,withpay,techsupport
13210,1995,withpay,otherservice
29716,1995,withpay,handlerscleaners
19902,1995,withpay,admclerical
21936,1995,withpay,craftrepair
9933,1995,withpay,admclerical
27494,1962,withpay,farmingfishing
19615,1962,withpay,otherservice
13705,1962,withpay,sales
1407,1962,withpay,craftrepair
11305,1962,withpay,admclerical
30602,1962,withpay,craftrepair
1623,1962,withpay,profspecialty
27777,1962,withpay,transportmoving
25806,1962,withpay,otherservice
27330,1962,withpay,transportmoving
22424,1962,withpay,admclerical
8891,1962,withpay,sales
6391,1962,withpay,sales
4267,1968,withpay,profspecialty
9916,1968,withpay,admclerical
22516,1968,withpay,execmanagerial
1177,1968,withpay,profspecialty
32194,1968,withpay,profspecialty
4516,1968,withpay,transportmoving
1067,1968,withpay,otherservice
15602,1968,withpay,profspecialty
23893,1968,withpay,otherservice
14842,1968,withpay,techsupport
12573,1968,withpay,profspecialty
13542,1968,withpay,profspecialty
1718,1968,withpay,profspecialty
15514,1968,withpay,craftrepair
931,1968,withpay,profspecialty
2541,1968,withpay,execmanagerial
22364,1968,withpay,execmanagerial
32202,1956,withpay,machineopinspct
16878,1956,withpay,sales
5261,1956,withpay,craftrepair
1664,1956,withpay,execmanagerial
19330,1956,withpay,admclerical
25023,1956,withpay,sales
24931,1956,withpay,execmanagerial
29604,1983,withpay,machineopinspct
19941,1983,withpay,execmanagerial
5050,1983,withpay,execmanagerial
19629,1983,withpay,execmanagerial
23091,1983,withpay,otherservice
4778,1983,withpay,sales
3290,1983,withpay,craftrepair
18463,1983,withpay,admclerical
21371,1983,withpay,farmingfishing
12590,1983,withpay,profspecialty
2751,1983,withpay,execmanagerial
12241,1983,withpay,craftrepair
13972,1983,withpay,execmanagerial
13406,1983,withpay,profspecialty
2963,1983,withpay,admclerical
20628,1983,withpay,techsupport
2740,1983,withpay,craftrepair
30788,1983,withpay,craftrepair
8071,1983,withpay,techsupport
2510,1983,withpay,execmanagerial
29972,1983,withpay,craftrepair
10802,1983,withpay,profspecialty
13311,1983,withpay,profspecialty
14406,1983,withpay,sales
3383,1983,withpay,profspecialty
3709,1983,withpay,craftrepair
1422,1983,withpay,sales
9677,1983,withpay,craftrepair
2834,1983,withpay,profspecialty
17455,1983,withpay,execmanagerial
17585,1983,withpay,otherservice
24157,1964,withpay,farmingfishing
32430,1964,withpay,craftrepair
21523,1964,withpay,otherservice
10925,1964,withpay,execmanagerial
15028,1964,withpay,craftrepair
9092,1964,withpay,transportmoving
7621,1964,withpay,otherservice
20072,1964,withpay,admclerical
16302,1964,withpay,craftrepair
27916,1964,withpay,farmingfishing
17593,1964,withpay,techsupport
28357,1964,withpay,transportmoving
22360,1964,withpay,craftrepair
18176,1964,withpay,sales
18462,1964,withpay,admclerical
31741,1964,withpay,farmingfishing
12018,1964,withpay,farmingfishing
3727,1986,withpay,farmingfishing
16729,1986,withpay,sales
19373,1986,withpay,execmanagerial
3946,1986,withpay,craftrepair
18913,1986,withpay,machineopinspct
10609,1986,withpay,handlerscleaners
21953,1986,withpay,craftrepair
10856,1986,withpay,otherservice
778,1986,withpay,execmanagerial
1686,1986,withpay,execmanagerial
8268,1986,withpay,craftrepair
25914,1986,withpay,execmanagerial
28607,1986,withpay,techsupport
17240,1986,withpay,craftrepair
7885,1986,withpay,sales
1189,1986,withpay,craftrepair
24259,1986,withpay,profspecialty
30101,1986,withpay,farmingfishing
30741,1986,withpay,sales
28574,1986,withpay,machineopinspct
8812,1986,withpay,farmingfishing
20854,1986,withpay,techsupport
18227,1986,withpay,profspecialty
19569,1986,withpay,machineopinspct
30632,1974,withpay,admclerical
6599,1974,withpay,sales
491,1974,withpay,craftrepair
17977,1974,withpay,execmanagerial
6419,1974,withpay,machineopinspct
19311,1974,withpay,sales
3578,1974,withpay,execmanagerial
14142,1974,withpay,profspecialty
28654,1974,withpay,otherservice
21914,1974,withpay,execmanagerial
11932,1974,withpay,machineopinspct
25124,1974,withpay,profspecialty
3102,1974,withpay,craftrepair
2534,1974,withpay,craftrepair
24023,1974,withpay,techsupport
24628,1974,withpay,execmanagerial
9202,1974,withpay,execmanagerial
10352,1974,withpay,craftrepair
25955,1974,withpay,sales
2904,1974,withpay,execmanagerial
25069,1974,withpay,farmingfishing
25262,1974,withpay,sales
27961,1974,withpay,techsupport
14323,1971,withpay,sales
27038,1971,withpay,transportmoving
1577,1971,withpay,execmanagerial
15335,1971,withpay,profspecialty
4231,1971,withpay,execmanagerial
29454,1971,withpay,admclerical
26120,1971,withpay,techsupport
30186,1971,withpay,profspecialty
12761,1971,withpay,farmingfishing
6999,1971,withpay,sales
31389,1971,withpay,execmanagerial
3274,1971,withpay,craftrepair
18295,1971,withpay,sales
2939,1971,withpay,profspecialty
17795,1971,withpay,execmanagerial
16580,1971,withpay,machineopinspct
25591,1971,withpay,sales
28705,1990,withpay,techsupport
6620,1990,withpay,otherservice
947,1990,withpay,craftrepair
16970,1990,withpay,profspecialty
17942,1990,withpay,sales
7711,1990,withpay,sales
15654,1990,withpay,handlerscleaners
5127,1990,withpay,admclerical
256,1990,withpay,admclerical
31307,1990,withpay,otherservice
23737,1990,withpay,profspecialty
1083,1990,withpay,handlerscleaners
22256,1990,withpay,farmingfishing
25718,1990,withpay,profspecialty
5838,1990,withpay,execmanagerial
20663,1990,withpay,craftrepair
20359,1990,withpay,execmanagerial
29046,1990,withpay,handlerscleaners
5705,1990,withpay,machineopinspct
30010,1990,withpay,profspecialty
27427,1990,withpay,profspecialty
24394,1990,withpay,profspecialty
32349,1990,withpay,otherservice
26837,1990,withpay,machineopinspct
11313,1969,withpay,sales
29412,1969,withpay,craftrepair
8578,1969,withpay,farmingfishing
22462,1969,withpay,transportmoving
5782,1969,withpay,execmanagerial
29875,1969,withpay,techsupport
28583,1969,withpay,craftrepair
16572,1969,withpay,transportmoving
17291,1969,withpay,craftrepair
2164,1969,withpay,admclerical
30594,1969,withpay,sales
32102,1969,withpay,profspecialty
13519,1969,withpay,otherservice
27581,1969,withpay,craftrepair
23424,1969,withpay,admclerical
5589,1969,withpay,admclerical
276,1987,withpay,techsupport
9278,1987,withpay,craftrepair
25759,1987,withpay,execmanagerial
4889,1987,withpay,protectiveserv
19001,1987,withpay,execmanagerial
30828,1987,withpay,transportmoving
4026,1987,withpay,transportmoving
28369,1987,withpay,craftrepair
17488,1987,withpay,admclerical
11882,1987,withpay,profspecialty
24060,1987,withpay,machineopinspct
5132,1987,withpay,privhouseserv
10408,1987,withpay,sales
4590,1987,withpay,machineopinspct
19641,1987,withpay,sales
32342,1987,withpay,craftrepair
8265,1987,withpay,otherservice
11270,1987,withpay,transportmoving
32011,1987,withpay,sales
20697,1987,withpay,admclerical
10573,1987,withpay,otherservice
21422,1998,withpay,craftrepair
21059,1998,withpay,admclerical
19590,1998,withpay,otherservice
10444,1998,withpay,handlerscleaners
8704,1998,withpay,sales
10722,1998,withpay,privhouseserv
4625,1998,withpay,transportmoving
23512,1998,withpay,machineopinspct
6668,1998,withpay,machineopinspct
31626,1998,withpay,execmanagerial
22308,1998,withpay,admclerical
15567,1998,withpay,handlerscleaners
17558,1998,withpay,otherservice
13110,1998,withpay,machineopinspct
24031,1998,withpay,admclerical
3368,1998,withpay,transportmoving
16191,1998,withpay,sales
8299,1998,withpay,craftrepair
9247,1998,withpay,techsupport
26894,1985,withpay,techsupport
19055,1985,withpay,craftrepair
31804,1985,withpay,transportmoving
26518,1985,withpay,profspecialty
9757,1985,withpay,sales
13237,1985,withpay,craftrepair
31915,1985,withpay,protectiveserv
26528,1985,withpay,sales
2860,1985,withpay,execmanagerial
1533,1985,withpay,profspecialty
19623,1985,withpay,execmanagerial
3903,1985,withpay,admclerical
23239,1985,withpay,profspecialty
800,1985,withpay,machineopinspct
24650,1985,withpay,profspecialty
1708,1985,withpay,execmanagerial
26652,1985,withpay,transportmoving
17654,1985,withpay,techsupport
28745,1985,withpay,execmanagerial
2878,1985,withpay,machineopinspct
10655,1985,withpay,machineopinspct
2756,1985,withpay,execmanagerial
13891,1985,withpay,machineopinspct
5985,1985,withpay,execmanagerial
21958,1985,withpay,techsupport
8826,1985,withpay,profspecialty
19070,1985,withpay,profspecialty
24192,1985,withpay,craftrepair
28162,1970,withpay,admclerical
3310,1970,withpay,profspecialty
20090,1970,withpay,transportmoving
7397,1970,withpay,execmanagerial
25447,1970,withpay,handlerscleaners
28750,1970,withpay,otherservice
348,1970,withpay,sales
15198,1970,withpay,profspecialty
20501,1970,withpay,transportmoving
1709,1970,withpay,profspecialty
14352,1970,withpay,sales
32075,1970,withpay,execmanagerial
63,1970,withpay,sales
5042,1970,withpay,otherservice
5270,1970,withpay,profspecialty
33,1970,withpay,execmanagerial
29006,1970,withpay,farmingfishing
14400,1970,withpay,execmanagerial
16450,1970,withpay,transportmoving
2870,1970,withpay,craftrepair
23379,1970,withpay,profspecialty
331,1979,withpay,transportmoving
31498,1979,withpay,execmanagerial
27032,1979,withpay,transportmoving
24398,1979,withpay,craftrepair
30588,1979,withpay,craftrepair
3812,1979,withpay,profspecialty
30839,1979,withpay,profspecialty
22159,1979,withpay,admclerical
26719,1979,withpay,otherservice
28553,1979,withpay,craftrepair
12250,1979,withpay,sales
2632,1979,withpay,execmanagerial
32143,1979,withpay,profspecialty
23690,1979,withpay,farmingfishing
31450,1979,withpay,handlerscleaners
13531,1979,withpay,farmingfishing
7476,1979,withpay,farmingfishing
17844,1979,withpay,execmanagerial
2681,1979,withpay,execmanagerial
2892,1979,withpay,execmanagerial
22795,1979,withpay,admclerical
8408,1979,withpay,otherservice
10469,1999,withpay,admclerical
17635,1999,withpay,admclerical
18640,1999,withpay,admclerical
16602,1999,withpay,profspecialty
27841,1999,withpay,sales
20550,1999,withpay,profspecialty
11118,1999,withpay,admclerical
15111,1999,withpay,otherservice
28996,1999,withpay,craftrepair
26552,1999,withpay,profspecialty
25049,1999,withpay,profspecialty
7792,1999,withpay,otherservice
18419,1999,withpay,sales
21700,1999,withpay,profspecialty
7934,1999,withpay,sales
6805,1999,withpay,handlerscleaners
14544,1999,withpay,otherservice
28768,1999,withpay,admclerical
32530,1999,withpay,admclerical
14815,1999,withpay,craftrepair
21360,1999,withpay,sales
28159,1999,withpay,sales
20365,1999,withpay,profspecialty
24910,1999,withpay,otherservice
9363,1999,withpay,admclerical
8568,1994,withpay,admclerical
7337,1994,withpay,otherservice
14829,1994,withpay,techsupport
13668,1994,withpay,otherservice
26859,1994,withpay,admclerical
10278,1994,withpay,techsupport
22091,1994,withpay,craftrepair
5964,1994,withpay,profspecialty
3395,1994,withpay,admclerical
17932,1994,withpay,profspecialty
14475,1994,withpay,sales
22577,1994,withpay,otherservice
14473,1994,withpay,machineopinspct
22242,1994,withpay,craftrepair
17163,1994,withpay,sales
5887,1994,withpay,sales
22471,1994,withpay,admclerical
29158,1994,withpay,sales
5736,1994,withpay,otherservice
4057,1994,withpay,protectiveserv
10497,1994,withpay,protectiveserv
31697,1994,withpay,craftrepair
9580,1994,withpay,sales
26536,1994,withpay,protectiveserv
24574,2000,notworking,nooccupation
19369,2000,notworking,nooccupation
30423,2000,notworking,nooccupation
18676,2000,notworking,nooccupation
12201,2000,notworking,nooccupation
5659,2003,withpay,sales
3990,2003,withpay,handlerscleaners
16137,2003,withpay,otherservice
16180,2003,withpay,otherservice
30451,2003,withpay,otherservice
23598,2003,withpay,handlerscleaners
14255,2003,withpay,sales
26034,2003,withpay,sales
15491,2003,withpay,otherservice
29456,2003,withpay,otherservice
4975,2003,withpay,admclerical
19521,2003,withpay,handlerscleaners
22228,2003,withpay,otherservice
6914,2003,withpay,sales
7408,2003,withpay,sales
20469,1955,withpay,profspecialty
19010,1955,withpay,execmanagerial
32451,1955,withpay,execmanagerial
27609,1955,withpay,profspecialty
9289,1997,withpay,handlerscleaners
13620,1997,withpay,handlerscleaners
25514,1997,withpay,craftrepair
2456,1997,withpay,execmanagerial
14771,1997,withpay,profspecialty
11275,1997,withpay,otherservice
9397,1997,withpay,techsupport
4631,1997,withpay,techsupport
29560,1997,withpay,transportmoving
14632,1997,withpay,craftrepair
30053,1997,withpay,handlerscleaners
7543,1997,withpay,transportmoving
7574,1997,withpay,handlerscleaners
8051,1997,withpay,otherservice
15330,1997,withpay,sales
6426,1997,withpay,transportmoving
14051,1997,withpay,sales
29214,1997,withpay,farmingfishing
17595,1989,withpay,execmanagerial
12366,1989,withpay,machineopinspct
18147,1989,withpay,profspecialty
6194,1989,withpay,transportmoving
3931,1989,withpay,craftrepair
3401,1989,withpay,execmanagerial
20651,1989,withpay,transportmoving
27258,1989,withpay,otherservice
12186,1989,withpay,protectiveserv
17576,1989,withpay,profspecialty
12198,1989,withpay,craftrepair
15617,1989,withpay,machineopinspct
32552,1989,withpay,handlerscleaners
12858,1989,withpay,execmanagerial
17544,1989,withpay,profspecialty
10663,1989,withpay,profspecialty
12324,1989,withpay,craftrepair
16917,1989,withpay,execmanagerial
21592,1958,withpay,farmingfishing
8926,1958,withpay,farmingfishing
